date	time	open	high	low	close	tickvolume	volume	spread
2018.06.26	14:10:00	1.16667	1.16670	1.16659	1.16662	69	0	1
2018.06.26	14:11:00	1.16661	1.16662	1.16648	1.16652	63	0	1
2018.06.26	14:12:00	1.16652	1.16678	1.16652	1.16677	48	0	1
2018.06.26	14:13:00	1.16677	1.16679	1.16663	1.16676	62	0	1
2018.06.26	14:14:00	1.16676	1.16678	1.16659	1.16660	81	0	2
2018.06.26	14:15:00	1.16659	1.16678	1.16656	1.16670	156	0	1
2018.06.26	14:16:00	1.16670	1.16676	1.16666	1.16672	118	0	1
2018.06.26	14:17:00	1.16672	1.16703	1.16672	1.16703	65	0	1
2018.06.26	14:18:00	1.16703	1.16708	1.16693	1.16703	93	0	1
2018.06.26	14:19:00	1.16703	1.16706	1.16692	1.16703	67	0	1
2018.06.26	14:20:00	1.16703	1.16712	1.16697	1.16711	78	0	1
2018.06.26	14:21:00	1.16712	1.16713	1.16697	1.16713	108	0	1
2018.06.26	14:22:00	1.16713	1.16717	1.16703	1.16712	51	0	2
2018.06.26	14:23:00	1.16712	1.16749	1.16711	1.16747	135	0	1
2018.06.26	14:24:00	1.16747	1.16756	1.16736	1.16743	157	0	1
2018.06.26	14:25:00	1.16743	1.16745	1.16730	1.16739	111	0	1
2018.06.26	14:26:00	1.16739	1.16752	1.16732	1.16737	92	0	1
2018.06.26	14:27:00	1.16737	1.16762	1.16730	1.16734	194	0	1
2018.06.26	14:28:00	1.16734	1.16734	1.16723	1.16728	117	0	1
2018.06.26	14:29:00	1.16728	1.16746	1.16709	1.16742	175	0	1
2018.06.26	14:30:00	1.16742	1.16759	1.16727	1.16756	91	0	1
2018.06.26	14:31:00	1.16756	1.16756	1.16734	1.16734	49	0	1
2018.06.26	14:32:00	1.16735	1.16756	1.16734	1.16753	48	0	2
2018.06.26	14:33:00	1.16753	1.16762	1.16750	1.16760	30	0	2
2018.06.26	14:34:00	1.16760	1.16790	1.16748	1.16775	159	0	1
2018.06.26	14:35:00	1.16775	1.16790	1.16749	1.16753	211	0	1
2018.06.26	14:36:00	1.16753	1.16763	1.16750	1.16754	153	0	1
2018.06.26	14:37:00	1.16754	1.16754	1.16744	1.16745	70	0	1
2018.06.26	14:38:00	1.16745	1.16751	1.16744	1.16745	31	0	1
2018.06.26	14:39:00	1.16745	1.16752	1.16734	1.16751	89	0	1
2018.06.26	14:40:00	1.16751	1.16755	1.16737	1.16748	56	0	2
2018.06.26	14:41:00	1.16748	1.16754	1.16724	1.16725	146	0	1
2018.06.26	14:42:00	1.16726	1.16749	1.16725	1.16745	101	0	2
2018.06.26	14:43:00	1.16745	1.16759	1.16729	1.16730	109	0	1
2018.06.26	14:44:00	1.16730	1.16743	1.16725	1.16734	104	0	1
2018.06.26	14:45:00	1.16734	1.16736	1.16726	1.16726	48	0	1
2018.06.26	14:46:00	1.16726	1.16729	1.16704	1.16715	76	0	2
2018.06.26	14:47:00	1.16715	1.16720	1.16714	1.16720	35	0	2
2018.06.26	14:48:00	1.16720	1.16727	1.16716	1.16724	30	0	2
2018.06.26	14:49:00	1.16724	1.16724	1.16684	1.16689	48	0	1
2018.06.26	14:50:00	1.16689	1.16694	1.16677	1.16679	107	0	1
2018.06.26	14:51:00	1.16679	1.16684	1.16671	1.16673	40	0	1
2018.06.26	14:52:00	1.16671	1.16672	1.16654	1.16658	79	0	2
2018.06.26	14:53:00	1.16658	1.16663	1.16642	1.16644	98	0	1
2018.06.26	14:54:00	1.16644	1.16666	1.16643	1.16663	74	0	1
2018.06.26	14:55:00	1.16663	1.16688	1.16656	1.16688	70	0	2
2018.06.26	14:56:00	1.16688	1.16692	1.16675	1.16689	68	0	1
2018.06.26	14:57:00	1.16689	1.16710	1.16676	1.16697	125	0	1
2018.06.26	14:58:00	1.16697	1.16707	1.16690	1.16707	52	0	1
2018.06.26	14:59:00	1.16707	1.16744	1.16705	1.16737	98	0	1
2018.06.26	15:00:00	1.16737	1.16746	1.16721	1.16727	110	0	1
2018.06.26	15:01:00	1.16727	1.16739	1.16722	1.16737	119	0	1
2018.06.26	15:02:00	1.16737	1.16754	1.16714	1.16722	118	0	1
2018.06.26	15:03:00	1.16722	1.16722	1.16706	1.16714	53	0	1
2018.06.26	15:04:00	1.16714	1.16718	1.16702	1.16705	70	0	2
2018.06.26	15:05:00	1.16705	1.16723	1.16699	1.16718	99	0	1
2018.06.26	15:06:00	1.16718	1.16728	1.16709	1.16712	105	0	1
2018.06.26	15:07:00	1.16712	1.16714	1.16687	1.16688	85	0	1
2018.06.26	15:08:00	1.16688	1.16710	1.16681	1.16704	105	0	1
2018.06.26	15:09:00	1.16704	1.16707	1.16690	1.16698	59	0	1
2018.06.26	15:10:00	1.16698	1.16707	1.16691	1.16700	92	0	1
2018.06.26	15:11:00	1.16700	1.16725	1.16700	1.16714	109	0	2
2018.06.26	15:12:00	1.16714	1.16727	1.16705	1.16727	52	0	1
2018.06.26	15:13:00	1.16727	1.16734	1.16706	1.16716	134	0	1
2018.06.26	15:14:00	1.16716	1.16724	1.16702	1.16720	89	0	1
2018.06.26	15:15:00	1.16720	1.16743	1.16720	1.16723	137	0	1
2018.06.26	15:16:00	1.16722	1.16762	1.16720	1.16755	144	0	1
2018.06.26	15:17:00	1.16756	1.16757	1.16735	1.16750	147	0	1
2018.06.26	15:18:00	1.16750	1.16756	1.16727	1.16743	118	0	2
2018.06.26	15:19:00	1.16743	1.16747	1.16723	1.16732	61	0	1
2018.06.26	15:20:00	1.16732	1.16771	1.16727	1.16768	154	0	2
2018.06.26	15:21:00	1.16767	1.16801	1.16764	1.16785	219	0	1
2018.06.26	15:22:00	1.16785	1.16812	1.16775	1.16782	192	0	1
2018.06.26	15:23:00	1.16782	1.16790	1.16750	1.16765	107	0	1
2018.06.26	15:24:00	1.16763	1.16776	1.16759	1.16772	116	0	1
2018.06.26	15:25:00	1.16772	1.16776	1.16760	1.16763	52	0	1
